DATE,LOCATION,WEATHER,PRODUCT,UNITS_SOLD,PRICE_EACH,TOTAL_REVENUE,COST_OF_GOODS,PROFIT,PAYMENT_METHOD,CUSTOMER_NOTES
2025-01-17,Bracknell Market,Sunny,Sausage Roll (Classic),12,2.50,30.00,11.04,18.96,Cash,Sold out by 3pm
2025-01-17,Bracknell Market,Sunny,Sausage Roll (Veg),8,2.50,20.00,7.36,12.64,Card,High demand
2025-01-17,Bracknell Market,Sunny,Pizza Slice (Margherita),16,2.00,32.00,3.36,28.64,Cash,Popular with kids
2025-01-17,Bracknell Market,Sunny,Pizza Slice (Pepperoni),14,2.50,35.00,4.90,30.10,Card,Premium seller
2025-01-17,Bracknell Market,Sunny,Quiche (Whole - Bacon),3,15.00,45.00,10.53,34.47,Card,Office order
2025-01-18,Bracknell Market,Cloudy,Sausage Roll (Classic),10,2.50,25.00,9.20,15.80,Cash,Slower day
2025-01-18,Bracknell Market,Cloudy,Sausage Roll (Veg),6,2.50,15.00,5.52,9.48,Card,-
2025-01-18,Bracknell Market,Cloudy,Pizza Slice (Margherita),12,2.00,24.00,2.52,21.48,Cash,-
2025-01-18,Bracknell Market,Cloudy,Pizza Slice (Pepperoni),10,2.50,25.00,3.50,21.50,Card,-
2025-01-18,Bracknell Market,Cloudy,Quiche (Whole - Spinach),2,15.00,30.00,7.02,22.98,Card,Repeat customer

SUMMARY,,,,,,,,,,
TOTAL SAUSAGE ROLLS,36,,,,,,,,,
TOTAL PIZZA SLICES,52,,,,,,,,,
TOTAL QUICHE (WHOLE),5,,,,,,,,,
TOTAL REVENUE,,,,,257.00,,,,,
TOTAL PROFIT,,,,,195.31,,,,,
AVERAGE TRANSACTION,25.70,,,,,,,,,
BEST PRODUCT,Pizza Slice (Margherita),,,,,,,,,
BEST WEATHER,Sunny,,,,,,,,,
