BRACKNELL FOOD BUSINESS - MONTHLY P&L DASHBOARD,,,,,,,
,,,,,,,
MONTH: January 2025,,,,,,,
,,,,,,,
INCOME,,BUDGET,ACTUAL,VARIANCE £,VARIANCE %,NOTES
Sausage Roll Sales,,480.00,520.00,40.00,8.3%,Strong sunny days
Pizza Sales (Whole),,360.00,320.00,-40.00,-11.1%,Sliced more popular
Pizza Sales (Slices),,504.00,440.00,-64.00,-12.7%,Still high margin
Quiche Sales,,480.00,390.00,-90.00,-18.8%,Pushed whole only
Catering Orders,,0.00,85.00,85.00,N/A,Office order bonus
,,,,,,,
TOTAL INCOME,,1824.00,1755.00,-69.00,-3.8%,,
,,,,,,,
EXPENSES,,,,,,,
Ingredients (Flour),,100.00,95.00,-5.00,-5.0%,Booker prices stable
Ingredients (Butter),,90.00,88.00,-2.00,-2.2%,Bulk discount
Ingredients (Cheese),,120.00,125.00,5.00,4.2%,Price increase
Ingredients (Meat),,157.50,150.00,-7.50,-4.8%,Good rates from Treble
Ingredients (Eggs),,48.00,42.00,-6.00,-12.5%,Local farm cheaper
Ingredients (Produce),,60.00,65.00,5.00,8.3%,Seasonal variation
Ingredients (Other),,154.10,160.00,5.90,3.8%,,
,,,,,,,
TOTAL INGREDIENTS,,729.60,725.00,-4.60,-0.6%,ON TARGET,,
,,,,,,,
Packaging,,182.40,195.00,12.60,6.9%,Ordered extra boxes
Market Stall Fees,,160.00,140.00,-20.00,-12.5%,One cancelled due to weather
Transport/Fuel,,80.00,95.00,15.00,18.8%,Extra trips to suppliers
Insurance (Monthly),,25.00,25.00,0.00,0.0%,Fixed cost
Phone/Internet,,30.00,30.00,0.00,0.0%,Fixed cost
Equipment/Repairs,,0.00,45.00,45.00,N/A,New scale purchased
Miscellaneous,,50.00,35.00,-15.00,-30.0%,Under budget,,
,,,,,,,
TOTAL EXPENSES,,1257.00,1265.00,8.00,0.6%,,
,,,,,,,
NET PROFIT,,567.00,490.00,-77.00,-13.6%,⚠️ Review needed,,
,,,,,,,
,,,,,,,
PRODUCT PROFITABILITY ANALYSIS,,,,,,,
PRODUCT,UNITS SOLD,REVENUE,COSTS,PROFIT,MARGIN %,RANKING
Sausage Rolls (Classic),120,300.00,110.40,189.60,63.2%,Good volume
Sausage Rolls (Veg),72,180.00,66.24,113.76,63.2%,Good volume
Pizza (Whole),32,320.00,54.08,265.92,83.1%,Highest margin
Pizza (Slices - Margherita),96,192.00,20.16,171.84,89.5%,STAR PRODUCT
Pizza (Slices - Pepperoni),80,200.00,28.00,172.00,86.0%,STAR PRODUCT
Quiche (Bacon & Leek),10,150.00,35.10,114.90,76.6%,Moderate
Quiche (Spinach & Feta),8,120.00,28.08,91.92,76.6%,Moderate
Catering (Mixed),1,85.00,28.00,57.00,67.1%,New opportunity
,,,,,,,
BEST PERFORMER: Pizza Slices (90% margin),,,,,,,
VOLUME LEADER: Sausage Rolls (192 units),,,,,,,
IMPROVEMENT NEEDED: Quiche (low unit sales),,,,,,,
,,,,,,,
,,,,,,,
COST BREAKDOWN (% of Revenue),,,,,,,
CATEGORY,TARGET %,ACTUAL %,STATUS,,,
Ingredients,40%,41.3%,Slightly high,,,
Packaging,10%,11.1%,Monitor,,,
Market Fees,8%,8.0%,On target,,,
Transport,5%,5.4%,Watch fuel costs,,,
Insurance,2%,1.4%,Good,,,
Other,5%,4.0%,Under control,,,
PROFIT MARGIN,30%,27.9%,Below target,,,
,,,,,,,
,,,,,,,
YEAR TO DATE SUMMARY,,,,,,,
MONTH,REVENUE,EXPENSES,PROFIT,CUMULATIVE PROFIT,TAX SAVED (20%),NOTES
January,1755.00,1265.00,490.00,490.00,98.00,First month trading
February,0.00,0.00,0.00,490.00,98.00,Projected
March,0.00,0.00,0.00,490.00,98.00,Projected
,,,,,,,
TOTAL YTD,1755.00,1265.00,490.00,490.00,98.00,,
,,,,,,,
,,,,,,,
TAX PREPARATION,,,,,,,
ITEM,AMOUNT,NOTES,,,,
Total Revenue (Jan),1755.00,For self-assessment,,,,
Total Deductible Expenses,1265.00,Keep all receipts,,,,
Equipment (Capital),45.00,May be deductible,,,,
Home Use %,25%,Estimate for kitchen use,,,,
Net Taxable Profit,490.00,Revenue - Expenses,,,,
Estimated Tax Due (20%),98.00,Save this amount monthly,,,,
National Insurance,TBC,Check HMRC calculator,,,,
,,,,,,,
ACTIONS FOR NEXT MONTH,,,,,,,
1. Increase pizza slice marketing,,,,,,
2. Negotiate better packaging prices,,,,,,
3. Reduce transport costs - combine trips,,,,,,
4. Promote quiche more actively,,,,,,
5. Book more catering orders,,,,,,
